original_air_date,views,imdb_rating,imdb_votes
2013-02-10,41828,6.5,471
2013-03-03,39510,6.2,423
2013-04-14,43471,6.5,425
2013-05-05,42810,6.8,371
2013-09-29,47531,7,635
2013-11-10,44551,6.7,489
2013-11-24,39590,6.5,468
2013-12-15,39290,6.5,449
2014-01-26,44119,7.2,431
2014-03-09,44512,6.7,468
2014-03-23,41726,7,414
2014-04-06,45184,6.5,415
2014-05-04,65613,7.7,705
2014-05-18,46408,6.7,416
2014-10-05,38411,6.9,490
2014-11-02,36410,6.3,442
2014-11-16,43513,6.9,456
2015-01-04,36622,6.8,578
2015-01-25,35848,5.8,439
2015-04-19,40157,6.7,334
1990-03-18,64776,7.5,1578
1990-04-15,60458,7.8,1539
1990-05-13,57590,7.9,1567
1990-10-18,58553,8.3,1588
1990-10-25,130282,8.2,1786
1990-11-08,49005,7.5,1381
1990-11-22,47539,7.7,1324
1990-12-20,55413,8.1,1402
1991-01-31,51182,8.2,1392
1991-02-14,46823,7.5,1241
1991-03-07,47780,7.5,1264
1991-05-02,51997,7.9,1246
2015-05-10,43978,6.8,335
2015-10-04,178,6.7,395
2015-11-08,175,6.8,335
2015-12-13,182,8.4,698
2016-01-10,172,6.8,309
2016-10-02,,,
2016-10-09,,,
2016-10-16,,,
2016-02-21,144,6.6,293
2016-03-13,201,7.3,262
2016-04-24,192,7.1,229
2016-05-15,228,6.4,227
1989-12-17,171408,8.2,3734
1990-01-14,91423,7.8,1973
1990-01-28,67378,7.8,1701
1990-02-11,55355,7.6,1674
1990-02-25,66311,7.7,1580
1991-05-09,50403,8.4,1379
1991-09-19,55238,8.6,1798
1991-10-03,53499,8.2,1302
1991-10-17,50601,8.5,1452
1993-04-15,53404,8.1,1122
1993-02-04,59040,8.1,1176
1993-10-28,110251,8.7,1437
1993-01-14,88171,9,2028
1993-02-11,62309,8.3,1268
1993-12-09,59350,8.4,1308
1992-03-12,49665,7.7,1165
1991-10-31,103012,8.2,1369
1991-11-07,53093,7.9,1243
1992-11-05,69527,7.8,1163
1991-12-26,47880,8.2,1213
1993-03-11,71907,9,1827
1992-01-23,49457,8,1179
1992-04-23,50068,7.7,1176
1993-10-21,57149,8.9,1479
1992-02-06,58991,8,1176
1992-02-20,72378,8.6,1637
1993-04-29,60739,8.1,1234
1992-10-15,52203,7.8,1194
1993-05-13,59948,8.2,1269
1992-04-09,57582,8.2,1233
1992-10-01,54487,8.1,1339
1992-10-29,108171,8.4,1394
1992-11-19,63564,8.8,1595
